rank,Steam ID,last Two Weeks,ATH,scoreSum,status_U_Count,Level,Badges,Games,Friends,Groups,Screenshots,Reviews,Cluster
84,76561199020497736,2.3,70.98,0.28,0.39,12,10,61,9,12,45,21,0
84,76561197960458725,2.48,504.63,0.22,0.06,15,10,146,0,52,0,12,0
84,76561198261946124,21.58,47.78,0.07,0,40,18,78,120,6,10,15,0
84,76561198350978608,11.03,124.55,0.12,0.06,68,60,859,55,20,254,85,-1
84,76561198172012966,10.75,120.03,0.16,0.09,7,5,68,0,5,111,4,0
84,76561198120448400,10.13,96.07,0.22,0.03,27,20,87,298,20,0,28,0
84,76561198365969872,3.22,4.89,0.04,0.11,12,11,209,36,1,0,43,0
84,76561198993754101,4.77,420.02,0.27,0,17,15,75,32,3,43,7,0
84,76561198847093744,19.68,356.42,0.36,0.06,10,6,43,31,0,3,1,0
84,76561198820716458,4.6,122.55,0.1,0,6,4,81,18,0,16,16,0
84,76561198023963077,149.07,487.95,0.12,0.11,11,5,128,178,21,120,13,0
84,76561198414098554,2.42,81.55,0.2,0,17,16,68,51,17,13,8,0
84,76561198296330513,2.27,603.84,0.52,0.35,50,22,55,149,14,46,10,0
84,76561198108161034,6.08,208.49,0.16,0,14,10,111,68,0,4,3,0
84,76561199013668860,7.65,63.61,0.11,0.35,4,7,8,0,1,0,9,0
84,76561198109862088,2.32,342.63,0.14,0.14,25,24,67,126,9,197,5,0
84,76561198055955533,6.62,48.97,0.07,0.33,39,15,53,33,3,16,10,0
84,76561198108511514,41.07,618.72,0.31,0.2,52,17,97,27,4,17,1,0
84,76561198446086284,1.67,168.33,0.2,0,10,7,36,8,2,1,8,0
84,76561199082294907,17.37,279.32,0.16,0,6,6,35,40,0,33,14,0
84,76561198020025415,3.6,391.84,0.39,0.18,10,7,67,161,8,0,3,0
84,76561199078079162,7.02,90.64,0.35,0.26,10,10,20,9,0,0,6,0
84,76561198110830130,52.48,318.07,0.12,0.16,11,7,157,23,1,0,24,0
84,76561199061763000,1.18,209.52,0.16,0.08,33,8,55,20,0,1,17,0
84,76561198843840160,7.52,67.24,0.13,0.26,6,3,63,16,0,7,14,0
84,76561198150669627,58.57,214.23,0.17,0.2,10,8,145,188,120,103,4,0
84,76561198971979967,19.27,344.83,0.12,0,11,5,15,0,0,0,2,0
84,76561198068453186,1.55,141.12,0.18,0.04,23,19,228,98,4,788,1,0
84,76561199023314392,26.25,841.11,0.19,0.26,4,4,23,15,0,1,3,0
84,76561198281347247,50.25,462.02,0.17,0.04,51,24,123,203,13,54,12,0
84,76561199033141513,8.6,172.93,0.1,0.19,3,4,13,9,0,0,1,0
84,76561198801127516,17.85,61.34,0.13,0.26,19,21,149,21,0,5,21,0
84,76561198077441119,1.07,282.62,0.13,0.05,16,11,356,85,4,126,5,0
84,76561198202638261,6.37,276.84,0.26,0.31,24,9,49,11,0,0,3,0
84,76561198286086888,6.98,97.67,0.12,0,9,6,67,54,9,20,4,0
84,76561199022232114,3.18,223.32,0.17,0.48,36,6,49,224,6,7,14,0
84,76561198347170242,4.6,32.57,0.21,0.31,7,4,43,39,0,0,3,0
84,76561197971598362,7.8,383.48,0.18,0.04,11,3,94,76,5,0,2,0
84,76561199084972589,11.53,264.96,0.18,0,3,4,30,36,0,0,1,0
84,76561198108273886,12.43,541.79,0.32,0.19,10,8,71,72,3,35,3,0
84,76561199080094459,10.47,87.52,0.11,0.44,6,7,59,23,3,7,10,0
84,76561198333836306,11.05,95.95,0.1,0,10,6,20,28,5,1,16,0
84,76561198799194919,1.78,76.24,0.2,0.14,52,21,170,88,3,22,13,0
84,76561197960809713,3.07,122.16,0.13,0.5,22,21,618,46,7,11,6,0
84,76561198078923104,1.38,450.36,0.29,0,20,19,51,0,2,52,12,0
84,76561198343370184,44.75,251.25,0.16,0.09,29,27,98,49,3,8,19,0
84,76561198258090508,3.02,318.65,0.1,0.06,13,7,126,41,0,34,9,0
84,76561198851352005,19.2,417.81,0.16,0.33,21,10,29,27,4,26,21,0
84,76561198192596566,13.02,294.01,0.27,0.08,12,9,103,29,1,18,3,0
84,76561198269164919,4.73,46.72,0.18,0,8,5,26,0,5,112,6,0
84,76561198051816669,4.05,104.36,0.21,0.07,91,57,344,49,7,74,51,0
84,76561198160328036,5.18,340.48,0.22,0.06,88,40,275,100,66,176,10,0
84,76561198357178396,4.68,314.87,0.28,0.18,11,9,92,32,1,0,3,0
84,76561198298883534,4.05,947.22,0.11,0.24,6,4,8,11,5,1,1,0
84,76561198157614692,2.78,294.35,0.28,0.18,76,12,87,223,5,47,10,0
84,76561198979551131,90.27,115.06,0.12,0.06,20,8,114,24,2,2,20,0
84,76561199013085093,34.12,1094.84,0.18,0.12,4,4,71,20,0,60,2,0
84,76561198020094785,10.48,73.23,0.19,0,70,59,256,25,0,57,27,0
